## blobtools v1.0
## cov0=/home/jon/Working_Files/blobtools/output.output.bam.cov
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	cov0_mean	cov0_std	cov0_read_map	cov0_read_map_p
Amphiprion ocellaris	None	5	62.5%	57,035	93.5%	14,520	0.38	0.0099	91.6	13.4	35,756	0.0%
Crassadoma gigantea	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Stichopus monotuberculatus	None	6	54.5%	28,085	79.1%	3,937	0.36	0.008	113.6	30.5	21,669	0.0%
Chlorocebus sabaeus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Labrus bergylta	None	14	58.3%	151,602	91.9%	16,111	0.36	0.018	95.5	32.0	117,911	0.0%
Solanum pennellii	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Neopelma chrysocephalum	None	2	100.0%	13,028	100.0%	8,476	0.35	0.0074	118.4	18.2	9,813	0.0%
Meridiastra gunnii	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Pteria lata	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Armadillidium vulgare	None	1	50.0%	18,313	93.5%	18,313	0.35	0.0	166.1	0.0	20,229	0.0%
Synallactes sp. AKM-2016	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Schistosoma mansoni	None	1	100.0%	3,443	100.0%	3,443	0.38	0.0	108.9	0.0	2,501	0.0%
Acropora digitifera	None	1	100.0%	31,283	100.0%	31,283	0.37	0.0	152.7	0.0	31,882	0.0%
Sinocyclocheilus anshuiensis	None	1	50.0%	16,837	98.0%	16,837	0.39	0.0	134.1	0.0	15,071	0.0%
Hirundo rustica	None	1	100.0%	31,601	100.0%	31,601	0.36	0.0	80.8	0.0	17,033	0.0%
Dentalium octangulatum	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Ophioderma longicauda	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Callorhinchus milii	None	2	50.0%	10,057	78.7%	6,001	0.39	0.015	81.5	0.1	5,467	0.0%
Condylura cristata	None	1	100.0%	24,712	100.0%	24,712	0.39	0.0	149.1	0.0	24,603	0.0%
Chelonia mydas	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Daphnia magna	None	1	50.0%	28,049	95.1%	28,049	0.36	0.0	135.5	0.0	25,347	0.0%
Agrilus planipennis	None	4	100.0%	55,417	100.0%	12,223	0.4	0.022	133.5	21.5	48,958	0.0%
Pocillopora damicornis	None	5	41.7%	63,030	88.3%	19,112	0.39	0.013	119.7	13.1	52,535	0.0%
Punica granatum	None	2	66.7%	13,671	87.1%	9,868	0.41	0.056	100.4	19.9	9,959	0.0%
Crucella scotiae	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Stichopus vastus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Stichopus chloronotus	None	10	71.4%	70,593	89.7%	7,627	0.38	0.01	107.2	49.7	52,338	0.0%
Culex quinquefasciatus	None	1	33.3%	7,171	95.2%	7,171	0.36	0.0	66.1	0.0	3,159	0.0%
Coregonus sp. 'balchen'	None	3	23.1%	18,158	63.3%	9,297	0.38	0.013	103.1	13.3	13,092	0.0%
Psolidium dorsipes	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Electrophorus electricus	None	2	100.0%	13,725	100.0%	9,397	0.36	0.0089	75.2	0.2	6,878	0.0%
Cricetulus griseus	None	2	100.0%	31,790	100.0%	28,136	0.38	0.011	121.6	31.7	30,944	0.0%
Eucyclops serrulatus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Nanorana parkeri	None	2	66.7%	39,827	99.7%	34,553	0.36	0.0021	114.4	0.7	30,300	0.0%
Aplysia californica	None	1	50.0%	6,071	81.7%	6,071	0.38	0.0	125.1	0.0	5,080	0.0%
Sinocyclocheilus grahami	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Monodelphis domestica	None	3	100.0%	23,964	100.0%	16,299	0.37	0.016	82.1	13.6	13,173	0.0%
Ensis arcuatus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Sus scrofa	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Volvox carteri	None	1	100.0%	3,252	100.0%	3,252	0.41	0.0	66.8	0.0	1,449	0.0%
Eptatretus burgeri	None	5	26.3%	59,806	84.3%	17,459	0.41	0.012	101.5	17.9	40,675	0.0%
Scyliorhinus torazame	None	1	100.0%	11,471	100.0%	11,471	0.36	0.0	142.8	0.0	10,893	0.0%
Canis lupus	None	2	100.0%	50,806	100.0%	29,486	0.37	0.0073	128.7	6.6	44,029	0.0%
Metorchis orientalis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Nylanderia fulva	None	1	100.0%	53,771	100.0%	53,771	0.36	0.0	139.8	0.0	50,145	0.0%
Mastacembelus armatus	None	4	57.1%	60,296	94.4%	22,813	0.38	0.0089	110.2	35.9	52,827	0.0%
Holothuria sanctori	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Bombyx mori	None	4	40.0%	35,435	82.0%	19,796	0.4	0.035	135.9	13.4	32,748	0.0%
Oncorhynchus mykiss	None	1	100.0%	3,335	100.0%	3,335	0.42	0.0	168.7	0.0	3,752	0.0%
Mytilus coruscus	None	1	8.3%	3,163	40.4%	3,163	0.41	0.0	143.0	0.0	3,007	0.0%
Terrapene carolina	None	1	100.0%	3,953	100.0%	3,953	0.34	0.0	126.9	0.0	3,351	0.0%
Trichinella papuae	None	2	40.0%	29,696	84.6%	16,313	0.4	0.0008	100.8	1.7	19,992	0.0%
Cyprinus carpio	None	4	80.0%	52,588	99.3%	16,451	0.38	0.017	101.4	17.4	33,263	0.0%
Strongyloides venezuelensis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Apostichopus parvimensis	None	14	51.9%	149,236	94.3%	11,577	0.37	0.016	112.1	25.3	115,287	0.0%
Echinostoma caproni	None	1	100.0%	4,041	100.0%	4,041	0.4	0.0	74.0	0.0	1,994	0.0%
Lottia gigantea	None	19	59.4%	162,601	89.3%	9,820	0.39	0.022	112.5	35.7	111,274	0.0%
Anabas testudineus	None	7	70.0%	43,946	93.3%	7,742	0.37	0.0098	98.5	38.5	29,306	0.0%
Aequipecten opercularis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Gossypium raimondii	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Fukomys damarensis	None	3	100.0%	23,621	100.0%	9,125	0.42	0.045	110.9	16.9	16,591	0.0%
Bombyx mandarina	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Diaphorina citri	None	1	6.2%	25,278	85.6%	25,278	0.35	0.0	140.6	0.0	23,706	0.0%
Hexaplex trunculus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Ceratotherium simum	None	1	100.0%	16,987	100.0%	16,987	0.37	0.0	152.6	0.0	17,288	0.0%
Carassius auratus	None	2	66.7%	17,130	85.7%	13,796	0.38	0.014	138.2	35.5	13,329	0.0%
Gallus gallus	None	1	100.0%	3,999	100.0%	3,999	0.35	0.0	131.3	0.0	3,505	0.0%
Rhinatrema bivittatum	None	4	100.0%	64,681	100.0%	19,478	0.37	0.011	118.3	23.4	49,098	0.0%
Octopus bimaculoides	None	3	100.0%	34,068	100.0%	11,641	0.37	0.0083	126.1	21.2	29,592	0.0%
unresolved	None	11	3.9%	135,076	75.1%	14,316	0.37	0.017	121.5	24.4	123,259	0.0%
Papilio machaon	None	1	100.0%	11,289	100.0%	11,289	0.36	0.0	127.9	0.0	9,644	0.0%
Stichopus oshimae	None	1	8.3%	3,969	68.2%	3,969	0.37	0.0	70.7	0.0	1,872	0.0%
Trichinella spiralis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Aspergillus niger	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Solanum lycopersicum	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Mercenaria mercenaria	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Encope perspectiva	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Tupaia chinensis	None	1	100.0%	12,884	100.0%	12,884	0.35	0.0	112.1	0.0	9,603	0.0%
Helobdella robusta	None	1	50.0%	10,339	85.2%	10,339	0.38	0.0	122.9	0.0	8,472	0.0%
Penaeus vannamei	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Ictalurus punctatus	None	1	50.0%	5,021	81.3%	5,021	0.37	0.0	169.1	0.0	5,663	0.0%
Folsomia candida	None	1	5.9%	35,823	74.6%	35,823	0.37	0.0	127.8	0.0	30,445	0.0%
Sitophilus oryzae	None	1	100.0%	11,029	100.0%	11,029	0.35	0.0	90.3	0.0	6,639	0.0%
Schistocephalus solidus	None	1	100.0%	12,076	100.0%	12,076	0.37	0.0	80.9	0.0	6,523	0.0%
Pseudotyrannochthonius giganteus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Heterocephalus glaber	None	5	55.6%	27,936	80.6%	5,289	0.39	0.0071	95.1	25.3	17,579	0.0%
Acanthochromis polyacanthus	None	4	66.7%	49,306	93.8%	13,146	0.4	0.014	90.7	11.5	29,863	0.0%
Drosophila serrata	None	1	100.0%	13,489	100.0%	13,489	0.38	0.0	70.7	0.0	6,350	0.0%
Rhabditophanes sp. KR3021	None	1	100.0%	28,442	100.0%	28,442	0.36	0.0	132.3	0.0	25,132	0.0%
Holothuria poli	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Ciona intestinalis	None	2	40.0%	27,163	83.7%	20,903	0.38	0.021	122.9	2.6	22,038	0.0%
Chanos chanos	None	4	66.7%	35,753	90.0%	8,005	0.37	0.0074	94.0	19.9	24,348	0.0%
Erinaceus europaeus	None	1	100.0%	13,289	100.0%	13,289	0.4	0.0	112.3	0.0	9,963	0.0%
Protobothrops mucrosquamatus	None	1	50.0%	3,792	63.5%	3,792	0.38	0.0	91.2	0.0	2,307	0.0%
Cyprinodon variegatus	None	2	66.7%	11,737	88.5%	7,101	0.38	0.011	110.7	21.0	9,012	0.0%
Myripristis murdjan	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
